method,avg_ppl_in,avg_ppl_out,total_backward,efficiency
Baseline,10.83135375181834,10.831134525934855,0,4.6596527099609375
TTL (no SEL),10.82988821665446,10.82971421877543,120,0.0444332758585612
Fixed-SEL,10.830682333310445,10.830482363700867,27,0.2125634087456597
Quantile-SEL (ours),10.831102752685547,10.830891823768615,12,0.42557716369628906
