method,avg_logppl_in,avg_logppl_out,avg_rougeL_f1,avg_domain_acc,total_backward,logP0_used,quantile_q,avg_window_logP0
Fixed-SEL (M=1),10.824495992660523,10.828975086212159,0.0,0.88,58,10.825609970092774,,
Fixed-SEL (M=2),10.824476013183594,10.829100914001465,0.0,0.88,48,10.825609970092774,,
Fixed-SEL (M=5),10.82446005821228,10.829139060974121,0.0,0.88,32,10.825609970092774,,
Fixed-SEL (M=10),10.824484415054322,10.829007577896117,0.0,0.88,20,10.825609970092774,,
Fixed-SEL (M=20),10.824480876922607,10.829007053375244,0.0,0.88,10,10.825609970092774,,
"TTL w/ Quantile-SEL (ours, M=10, q=0.7)",10.824490070343018,10.82896264076233,0.0,0.88,20,,0.7,10.825431509017942
